first_name,last_name,email,join_date,designation,department,user_role,reporting_manager,leave_category,panelty,status
Ram,Vipul,ramvipul1209@gmail.com,Sun Jun 21 2020 11:28:09 GMT+0530 (India Standard Time),,,superAdmin,,,0,active
Jaideep,Ram,jaideep.r@latitudetechnolabs.com,Tue Jun 21 2022 05:30:00 GMT+0530 (India Standard Time),Jr React Developer,Reactjs,superAdmin,ramvipul1209@gmail.com,"sick,casual,loss-of-pay",0,active
Ritesh,kumar,ritesh.k@latitudetechnolabs.com,Tue Jun 21 2022 05:30:00 GMT+0530 (India Standard Time),sr node developer,Reactjs,superAdmin,ramvipul1209@gmail.com,"sick,casual,loss-of-pay",0,active
Dileep,Kumar,dileep@yopmail.com,Tue Jun 21 2022 05:30:00 GMT+0530 (India Standard Time),sr node developer,HR,superAdmin,jaideep.r@latitudetechnolabs.com,"sick,casual,loss-of-pay",2.5,active
adminjay,Ram,adminjay@yopmail.com,Tue Jun 21 2022 05:30:00 GMT+0530 (India Standard Time),Jr React Developer,React Js,admin,jaideep.r@latitudetechnolabs.com,"sick,casual,loss-of-pay",2,active
Hiloni,Barmeda,hiloni@yopmail.com,Tue Jun 21 2022 05:30:00 GMT+0530 (India Standard Time),Jr Web Developer,Web Designer,employee,adminjay@yopmail.com,"sick,casual,loss-of-pay",54.5,active
Will,Robinson,will@yopmail.com,Tue Jun 21 2022 05:30:00 GMT+0530 (India Standard Time),Sr React Developer,Reactjs,admin,ritesh.k@latitudetechnolabs.com,"sick,casual",0,active
Jonny,Depp,jonny@yopmail.com,Tue Jun 21 2022 05:30:00 GMT+0530 (India Standard Time),Jr Android Developer,django,employee,will@yopmail.com,"sick,casual,loss-of-pay",14.5,active
Govind,Kumar,govind.s@latitudetechnolabs.com,Wed Jun 22 2022 05:30:00 GMT+0530 (India Standard Time),Sr React Developer,Reactjs,superAdmin,will@yopmail.com,"sick,casual,loss-of-pay",0,active
Dileep,Admin,dileep1@yopmail.com,Wed Jun 22 2022 05:30:00 GMT+0530 (India Standard Time),Sr React Developer,Android,admin,dileep@yopmail.com,"sick,casual,loss-of-pay",1,active
Elon,Musk,elon@yopmail.com,Thu Jun 23 2022 05:30:00 GMT+0530 (India Standard Time),Jr React Developer,Reactjs,employee,will@yopmail.com,"sick,casual",0,active
admin,rv,ram.v@latitudetechnolabs.com,Thu Jun 23 2022 05:30:00 GMT+0530 (India Standard Time),Sr React Developer,Reactjs,admin,ramvipul1209@gmail.com,"sick,casual,loss-of-pay",0,active
Gangadhar,Shastri,gangadhar@yopmail.com,Thu Jun 23 2022 05:30:00 GMT+0530 (India Standard Time),Jr Web Developer,Reactjs,employee,ram.v@latitudetechnolabs.com,"sick,casual,loss-of-pay",0,active
Liladhar,Shastri,liladhar@yopmail.com,Thu Jun 23 2022 05:30:00 GMT+0530 (India Standard Time),Jr Web Developer,Reactjs,employee,ram.v@latitudetechnolabs.com,"sick,casual,loss-of-pay",0,active
Employee,Dileep,dileep2@yopmail.com,Thu Jun 23 2022 05:30:00 GMT+0530 (India Standard Time),Jr Web Developer,Kotlin,employee,dileep1@yopmail.com,"casual,loss-of-pay",17,active
Hardik,Pandya,hardik@yopmail.com,Thu Jun 23 2022 05:30:00 GMT+0530 (India Standard Time),Jr React Developer,Reactjs,employee,ritesh.k@latitudetechnolabs.com,,0,active
sddfs,sdfsd,dileep3@yopmail.com,Mon Jun 27 2022 05:30:00 GMT+0530 (India Standard Time),Jr Android Developer,Android,employee,dileep1@yopmail.com,sick,0,active
dfsdfsd,dsfdf,sdfsd@yopmail.com,Mon Jun 27 2022 05:30:00 GMT+0530 (India Standard Time),Sr React Developer,Kotlin,employee,dileep@yopmail.com,,0,active
Aditya,Gadhvi,aditya1@yopmail.com,Tue Aug 10 2021 00:00:00 GMT+0530 (India Standard Time),sr node developer,Reactjs,employee,ram.v@latitudetechnolabs.com,"sick,casual,loss-of-pay",0,active
tractor,test,tractor1@yopmail.com,Fri Sep 10 2021 00:00:00 GMT+0530 (India Standard Time),sr node developer,Reactjs,employee,ram.v@latitudetechnolabs.com,"sick,casual,loss-of-pay",0,active
mogli,mogli,mogli1@yopmail.com,Fri Sep 10 2021 00:00:00 GMT+0530 (India Standard Time),sr node developer,Reactjs,employee,ram.v@latitudetechnolabs.com,"sick,casual,loss-of-pay",0,active
Ramesh,kumar,ramehs@yopmail.com,Mon Jun 27 2022 05:30:00 GMT+0530 (India Standard Time),Sr React Developer,Android,employee,dileep1@yopmail.com,"sick,casual,loss-of-pay",0,active
